Referência gate:html: 0
Referência check:lugar: 0
Referência check:datas: 0
Referência check:voz: 0
Referência check:cadeia: 0
pagina-em-falta: 1, mordida true, bytes repostos
algarismo-na-rota-nova: 1, mordida true, bytes repostos
cadeia-na-rota-nova: 1, mordida true, bytes repostos
data-da-edicao: 1, mordida true, bytes repostos
data-da-lista: 1, mordida true, bytes repostos
tema-em-falta: 1, mordida true, bytes repostos
frase-fora-da-lista: 1, mordida true, bytes repostos
l6-origem-trocada: 1, mordida true, bytes repostos
l8-indice-trocado: 1, mordida true, bytes repostos
rotulo-ia-retirado: 1, mordida true, bytes repostos
redirecionamento-trocado: 1, mordida true, bytes repostos
estudo-sem-acesso: 1, mordida true, bytes repostos
contagem-do-lugar: 1, mordida true, bytes repostos
documento-porta-trocada: 1, mordida true, bytes repostos
segunda-porta: 1, mordida true, bytes repostos
faixa-regressa: 1, mordida true, bytes repostos
16 plantas: todas morderam e todas foram repostas.
