antes-pais-pt-390.png: 390 × 6978; wordmark 34 px; H1 34 px
antes-pais-pt-768.png: 768 × 5558; wordmark 56.832 px; H1 56.832 px
antes-pais-pt-1024.png: 1024 × 5251; wordmark 68 px; H1 68 px
antes-pais-pt-1280.png: 1280 × 5318; wordmark 68 px; H1 68 px
antes-pais-pt-1600.png: 1600 × 5286; wordmark 68 px; H1 68 px
antes-pais-en-390.png: 390 × 7029; wordmark 34 px; H1 34 px
antes-pais-en-768.png: 768 × 5569; wordmark 56.832 px; H1 56.832 px
antes-pais-en-1024.png: 1024 × 5299; wordmark 68 px; H1 68 px
antes-pais-en-1280.png: 1280 × 5386; wordmark 68 px; H1 68 px
antes-pais-en-1600.png: 1600 × 5291; wordmark 68 px; H1 68 px
antes-temas-pt-390.png: 390 × 6487; wordmark 24 px; H1 28 px
antes-temas-pt-768.png: 768 × 4639; wordmark 26.112 px; H1 33.792 px
antes-temas-pt-1024.png: 1024 × 4157; wordmark 34 px; H1 42 px
antes-temas-pt-1280.png: 1280 × 4105; wordmark 34 px; H1 42 px
antes-temas-pt-1600.png: 1600 × 4037; wordmark 34 px; H1 42 px
antes-temas-en-390.png: 390 × 6472; wordmark 24 px; H1 28 px
antes-temas-en-768.png: 768 × 4538; wordmark 26.112 px; H1 33.792 px
antes-temas-en-1024.png: 1024 × 4221; wordmark 34 px; H1 42 px
antes-temas-en-1280.png: 1280 × 4211; wordmark 34 px; H1 42 px
antes-temas-en-1600.png: 1600 × 3998; wordmark 34 px; H1 42 px
antes-europeia-pt-390.png: 390 × 1122; wordmark 24 px; H1 26 px
antes-europeia-pt-768.png: 768 × 2238; wordmark 26.112 px; H1 26 px
antes-europeia-pt-1024.png: 1024 × 2114; wordmark 34 px; H1 32.768 px
antes-europeia-pt-1280.png: 1280 × 2009; wordmark 34 px; H1 40 px
antes-europeia-pt-1600.png: 1600 × 2018; wordmark 34 px; H1 40 px
antes-europeia-en-390.png: 390 × 1171; wordmark 24 px; H1 26 px
antes-europeia-en-768.png: 768 × 2228; wordmark 26.112 px; H1 26 px
antes-europeia-en-1024.png: 1024 × 2081; wordmark 34 px; H1 32.768 px
antes-europeia-en-1280.png: 1280 × 1966; wordmark 34 px; H1 40 px
antes-europeia-en-1600.png: 1600 × 1976; wordmark 34 px; H1 40 px
antes-mourao-pt-390.png: 390 × 2132; wordmark 24 px; H1 30 px
antes-mourao-pt-768.png: 768 × 1599; wordmark 26.112 px; H1 38.4 px
antes-mourao-pt-1024.png: 1024 × 1610; wordmark 34 px; H1 46 px
antes-mourao-pt-1280.png: 1280 × 1718; wordmark 34 px; H1 46 px
antes-mourao-pt-1600.png: 1600 × 1644; wordmark 34 px; H1 46 px
antes-mourao-en-390.png: 390 × 2220; wordmark 24 px; H1 30 px
antes-mourao-en-768.png: 768 × 1658; wordmark 26.112 px; H1 38.4 px
antes-mourao-en-1024.png: 1024 × 1629; wordmark 34 px; H1 46 px
antes-mourao-en-1280.png: 1280 × 1736; wordmark 34 px; H1 46 px
antes-mourao-en-1600.png: 1600 × 1684; wordmark 34 px; H1 46 px
40 capturas e 9 cópias verificadas, dist de 7f65829935e838c29129be0187072c5c8d87c39f.
