depois-pais-pt-390.png: 390 × 7563; wordmark 34 px; H1 34 px
depois-pais-pt-768.png: 768 × 5880; wordmark 56.832 px; H1 56.832 px
depois-pais-pt-1024.png: 1024 × 5360; wordmark 68 px; H1 68 px
depois-pais-pt-1280.png: 1280 × 5308; wordmark 68 px; H1 68 px
depois-pais-pt-1600.png: 1600 × 5360; wordmark 68 px; H1 68 px
depois-pais-en-390.png: 390 × 7574; wordmark 34 px; H1 34 px
depois-pais-en-768.png: 768 × 5890; wordmark 56.832 px; H1 56.832 px
depois-pais-en-1024.png: 1024 × 5367; wordmark 68 px; H1 68 px
depois-pais-en-1280.png: 1280 × 5335; wordmark 68 px; H1 68 px
depois-pais-en-1600.png: 1600 × 5369; wordmark 68 px; H1 68 px
depois-temas-pt-390.png: 390 × 6831; wordmark 24 px; H1 28 px
depois-temas-pt-768.png: 768 × 4512; wordmark 26.112 px; H1 33.792 px
depois-temas-pt-1024.png: 1024 × 4231; wordmark 34 px; H1 42 px
depois-temas-pt-1280.png: 1280 × 4052; wordmark 34 px; H1 42 px
depois-temas-pt-1600.png: 1600 × 4054; wordmark 34 px; H1 42 px
depois-temas-en-390.png: 390 × 6787; wordmark 24 px; H1 28 px
depois-temas-en-768.png: 768 × 4469; wordmark 26.112 px; H1 33.792 px
depois-temas-en-1024.png: 1024 × 4171; wordmark 34 px; H1 42 px
depois-temas-en-1280.png: 1280 × 4009; wordmark 34 px; H1 42 px
depois-temas-en-1600.png: 1600 × 4000; wordmark 34 px; H1 42 px
depois-europeia-pt-390.png: 390 × 1210; wordmark 24 px; H1 28 px
depois-europeia-pt-768.png: 768 × 2369; wordmark 26.112 px; H1 33.792 px
depois-europeia-pt-1024.png: 1024 × 2234; wordmark 34 px; H1 42 px
depois-europeia-pt-1280.png: 1280 × 2094; wordmark 34 px; H1 42 px
depois-europeia-pt-1600.png: 1600 × 2104; wordmark 34 px; H1 42 px
depois-europeia-en-390.png: 390 × 1227; wordmark 24 px; H1 28 px
depois-europeia-en-768.png: 768 × 2304; wordmark 26.112 px; H1 33.792 px
depois-europeia-en-1024.png: 1024 × 2160; wordmark 34 px; H1 42 px
depois-europeia-en-1280.png: 1280 × 2019; wordmark 34 px; H1 42 px
depois-europeia-en-1600.png: 1600 × 2028; wordmark 34 px; H1 42 px
depois-mourao-pt-390.png: 390 × 2096; wordmark 24 px; H1 30 px
depois-mourao-pt-768.png: 768 × 1582; wordmark 26.112 px; H1 38.4 px
depois-mourao-pt-1024.png: 1024 × 1605; wordmark 34 px; H1 46 px
depois-mourao-pt-1280.png: 1280 × 1682; wordmark 34 px; H1 46 px
depois-mourao-pt-1600.png: 1600 × 1625; wordmark 34 px; H1 46 px
depois-mourao-en-390.png: 390 × 2128; wordmark 24 px; H1 30 px
depois-mourao-en-768.png: 768 × 1601; wordmark 26.112 px; H1 38.4 px
depois-mourao-en-1024.png: 1024 × 1624; wordmark 34 px; H1 46 px
depois-mourao-en-1280.png: 1280 × 1699; wordmark 34 px; H1 46 px
depois-mourao-en-1600.png: 1600 × 1631; wordmark 34 px; H1 46 px
40 capturas e 9 cópias guardadas; 0 falhas de aceitação, dist de 7110ca608ef6addba6771a50b5c47685e4e18026.
