ficheiro|url_pedido|url_efetivo|http|bytes|content_type|lido_utc|sha256
01-eleicoes2025-camara-evora.json|https://www.eleicoes.mai.gov.pt/autarquicas2025/assets/static/result/territory-electionId=1-territoryId=1267-organId=4.json|https://www.eleicoes.mai.gov.pt/autarquicas2025/assets/static/result/territory-electionId=1-territoryId=1267-organId=4.json|200|4472|application/json|2026-09-15T11:42:47Z|3478e559a447dcb17c51225ccccdfb796ee58049ed732e1dd457ea372361c058
02-eleicoes2025-assembleia-evora.json|https://www.eleicoes.mai.gov.pt/autarquicas2025/assets/static/result/territory-electionId=1-territoryId=1267-organId=5.json|https://www.eleicoes.mai.gov.pt/autarquicas2025/assets/static/result/territory-electionId=1-territoryId=1267-organId=5.json|200|3666|application/json|2026-09-15T11:42:49Z|7b403d245580d5fa927d6776ceb07e2f0a40508303eed372cc909e09384466ce
03-eleicoes2025-freguesias-evora-organ6.json|https://www.eleicoes.mai.gov.pt/autarquicas2025/assets/static/result/territory-electionId=1-territoryId=1267-organId=6.json|https://www.eleicoes.mai.gov.pt/autarquicas2025/assets/static/result/territory-electionId=1-territoryId=1267-organId=6.json|200|4058|application/json|2026-09-15T11:42:50Z|cb8e46b9adddb4f0431136aa36530f9499c7e780908dde6395c6e226a8b1d232
10-cmevora-robots.txt|https://www.cm-evora.pt/robots.txt|https://www.cm-evora.pt/robots.txt|200|275|text/plain; charset=utf-8|2026-09-15T11:43:13Z|5af4947a736b7947f026ead0e41ecae53a1b9bbf78c876c8fda5baefa3dbb68e
11-cmevora-wp-sitemap.xml|https://www.cm-evora.pt/wp-sitemap.xml|https://www.cm-evora.pt/sitemap_index.xml|200|6520|text/xml; charset=UTF-8|2026-09-15T11:43:14Z|eded4c69b53ad55388848396b732705661c32c27774829075665e3b1b0c44c86
12-cmevora-sitemap-index.xml|https://www.cm-evora.pt/sitemap_index.xml|https://www.cm-evora.pt/sitemap_index.xml|200|6520|text/xml; charset=UTF-8|2026-09-15T11:43:16Z|eded4c69b53ad55388848396b732705661c32c27774829075665e3b1b0c44c86
13-cmevora-executivo.html|https://www.cm-evora.pt/municipe/camara-municipal/executivo/|https://www.cm-evora.pt/municipe/camara-municipal/executivo/|200|863241|text/html; charset=UTF-8|2026-09-15T11:43:18Z|89ddb1eec9f538b85ed378e668e3e079c2f4b6642b5a1f3db97b5a5b78fa81d4
20-cmevora-reunioes-de-camara.html|https://www.cm-evora.pt/municipe/camara-municipal/reunioes-de-camara/|https://www.cm-evora.pt/municipe/camara-municipal/reunioes-de-camara/|200|2061384|text/html; charset=UTF-8|2026-09-15T11:44:43Z|38068873076237d9d61ab3768c246c7f72195c9b35817f3c4e71269d98d75b2a
21-cmevora-assembleia-municipal.html|https://www.cm-evora.pt/municipe/assembleia-municipal/|https://www.cm-evora.pt/municipe/assembleia-municipal/|200|923181|text/html; charset=UTF-8|2026-09-15T11:44:46Z|2d0e5c37a1f983629080b1063bdee00b8f1c92fc6596a6d3a144baeb15ab6bc4
22-cmevora-despachos-delegacao.html|https://www.cm-evora.pt/municipe/camara-municipal/recursos-humanos/despachos-de-delegacao-de-poderes/|https://www.cm-evora.pt/municipe/camara-municipal/recursos-humanos/despachos-de-delegacao-de-poderes/|200|1212830|text/html; charset=UTF-8|2026-09-15T11:44:48Z|5f4ad19cdad6d0edb5f276be6347b22d887594f0626a6cb122c63a4ebafe64fc
