# O Estado do País — municípios: Continente, CAOP 2025
# Carta Administrativa Oficial de Portugal (CAOP) 2025
# Direção-Geral do Território · CC BY 4.0 · https://creativecommons.org/licenses/by/4.0/
#
# Extraído de CAOP_Continente_2025-gpkg.zip
#   https://geo2.dgterritorio.gov.pt/caop/CAOP_Continente_2025-gpkg.zip
#   sha256 87cd67f4b1fbadf23d9324e6fb231ff05531e4db347af36ccc7c6cbabe3ecd1d
#   111647845 bytes · Last-Modified: Mon, 02 Feb 2026 14:26:40 GMT
# Camadas do GeoPackage, uma linha por município:
#   Continente_CAOP2025.gpkg:cont_municipios
# Colunas com os nomes que a fonte lhes dá. A contagem é o número de
# linhas de dados deste ficheiro.
# Produzido por ResearchHub/publisher/caop_municipios.py. NÃO EDITAR À MÃO.
dtmn,municipio,distrito_ilha,nuts3,nuts2,nuts1
0101,Águeda,Aveiro,Região de Aveiro,Centro,Continente
0102,Albergaria-a-Velha,Aveiro,Região de Aveiro,Centro,Continente
0103,Anadia,Aveiro,Região de Aveiro,Centro,Continente
0104,Arouca,Aveiro,Área Metropolitana do Porto,Norte,Continente
0105,Aveiro,Aveiro,Região de Aveiro,Centro,Continente
0106,Castelo de Paiva,Aveiro,Tâmega e Sousa,Norte,Continente
0107,Espinho,Aveiro,Área Metropolitana do Porto,Norte,Continente
0108,Estarreja,Aveiro,Região de Aveiro,Centro,Continente
0109,Santa Maria da Feira,Aveiro,Área Metropolitana do Porto,Norte,Continente
0110,Ílhavo,Aveiro,Região de Aveiro,Centro,Continente
0111,Mealhada,Aveiro,Região de Coimbra,Centro,Continente
0112,Murtosa,Aveiro,Região de Aveiro,Centro,Continente
0113,Oliveira de Azeméis,Aveiro,Área Metropolitana do Porto,Norte,Continente
0114,Oliveira do Bairro,Aveiro,Região de Aveiro,Centro,Continente
0115,Ovar,Aveiro,Região de Aveiro,Centro,Continente
0116,São João da Madeira,Aveiro,Área Metropolitana do Porto,Norte,Continente
0117,Sever do Vouga,Aveiro,Região de Aveiro,Centro,Continente
0118,Vagos,Aveiro,Região de Aveiro,Centro,Continente
0119,Vale de Cambra,Aveiro,Área Metropolitana do Porto,Norte,Continente
0201,Aljustrel,Beja,Baixo Alentejo,Alentejo,Continente
0202,Almodôvar,Beja,Baixo Alentejo,Alentejo,Continente
0203,Alvito,Beja,Baixo Alentejo,Alentejo,Continente
0204,Barrancos,Beja,Baixo Alentejo,Alentejo,Continente
0205,Beja,Beja,Baixo Alentejo,Alentejo,Continente
0206,Castro Verde,Beja,Baixo Alentejo,Alentejo,Continente
0207,Cuba,Beja,Baixo Alentejo,Alentejo,Continente
0208,Ferreira do Alentejo,Beja,Baixo Alentejo,Alentejo,Continente
0209,Mértola,Beja,Baixo Alentejo,Alentejo,Continente
0210,Moura,Beja,Baixo Alentejo,Alentejo,Continente
0211,Odemira,Beja,Alentejo Litoral,Alentejo,Continente
0212,Ourique,Beja,Baixo Alentejo,Alentejo,Continente
0213,Serpa,Beja,Baixo Alentejo,Alentejo,Continente
0214,Vidigueira,Beja,Baixo Alentejo,Alentejo,Continente
0301,Amares,Braga,Cávado,Norte,Continente
0302,Barcelos,Braga,Cávado,Norte,Continente
0303,Braga,Braga,Cávado,Norte,Continente
0304,Cabeceiras de Basto,Braga,Ave,Norte,Continente
0305,Celorico de Basto,Braga,Tâmega e Sousa,Norte,Continente
0306,Esposende,Braga,Cávado,Norte,Continente
0307,Fafe,Braga,Ave,Norte,Continente
0308,Guimarães,Braga,Ave,Norte,Continente
0309,Póvoa de Lanhoso,Braga,Ave,Norte,Continente
0310,Terras de Bouro,Braga,Cávado,Norte,Continente
0311,Vieira do Minho,Braga,Ave,Norte,Continente
0312,Vila Nova de Famalicão,Braga,Ave,Norte,Continente
0313,Vila Verde,Braga,Cávado,Norte,Continente
0314,Vizela,Braga,Ave,Norte,Continente
0401,Alfândega da Fé,Bragança,Terras de Trás-os-Montes,Norte,Continente
0402,Bragança,Bragança,Terras de Trás-os-Montes,Norte,Continente
0403,Carrazeda de Ansiães,Bragança,Douro,Norte,Continente
0404,Freixo de Espada à Cinta,Bragança,Douro,Norte,Continente
0405,Macedo de Cavaleiros,Bragança,Terras de Trás-os-Montes,Norte,Continente
0406,Miranda do Douro,Bragança,Terras de Trás-os-Montes,Norte,Continente
0407,Mirandela,Bragança,Terras de Trás-os-Montes,Norte,Continente
0408,Mogadouro,Bragança,Terras de Trás-os-Montes,Norte,Continente
0409,Torre de Moncorvo,Bragança,Douro,Norte,Continente
0410,Vila Flor,Bragança,Terras de Trás-os-Montes,Norte,Continente
0411,Vimioso,Bragança,Terras de Trás-os-Montes,Norte,Continente
0412,Vinhais,Bragança,Terras de Trás-os-Montes,Norte,Continente
0501,Belmonte,Castelo Branco,Beiras e Serra da Estrela,Centro,Continente
0502,Castelo Branco,Castelo Branco,Beira Baixa,Centro,Continente
0503,Covilhã,Castelo Branco,Beiras e Serra da Estrela,Centro,Continente
0504,Fundão,Castelo Branco,Beiras e Serra da Estrela,Centro,Continente
0505,Idanha-a-Nova,Castelo Branco,Beira Baixa,Centro,Continente
0506,Oleiros,Castelo Branco,Beira Baixa,Centro,Continente
0507,Penamacor,Castelo Branco,Beira Baixa,Centro,Continente
0508,Proença-a-Nova,Castelo Branco,Beira Baixa,Centro,Continente
0509,Sertã,Castelo Branco,Beira Baixa,Centro,Continente
0510,Vila de Rei,Castelo Branco,Beira Baixa,Centro,Continente
0511,Vila Velha de Ródão,Castelo Branco,Beira Baixa,Centro,Continente
0601,Arganil,Coimbra,Região de Coimbra,Centro,Continente
0602,Cantanhede,Coimbra,Região de Coimbra,Centro,Continente
0603,Coimbra,Coimbra,Região de Coimbra,Centro,Continente
0604,Condeixa-a-Nova,Coimbra,Região de Coimbra,Centro,Continente
0605,Figueira da Foz,Coimbra,Região de Coimbra,Centro,Continente
0606,Góis,Coimbra,Região de Coimbra,Centro,Continente
0607,Lousã,Coimbra,Região de Coimbra,Centro,Continente
0608,Mira,Coimbra,Região de Coimbra,Centro,Continente
0609,Miranda do Corvo,Coimbra,Região de Coimbra,Centro,Continente
0610,Montemor-o-Velho,Coimbra,Região de Coimbra,Centro,Continente
0611,Oliveira do Hospital,Coimbra,Região de Coimbra,Centro,Continente
0612,Pampilhosa da Serra,Coimbra,Região de Coimbra,Centro,Continente
0613,Penacova,Coimbra,Região de Coimbra,Centro,Continente
0614,Penela,Coimbra,Região de Coimbra,Centro,Continente
0615,Soure,Coimbra,Região de Coimbra,Centro,Continente
0616,Tábua,Coimbra,Região de Coimbra,Centro,Continente
0617,Vila Nova de Poiares,Coimbra,Região de Coimbra,Centro,Continente
0701,Alandroal,Évora,Alentejo Central,Alentejo,Continente
